26/05/2013,CO10270,CO10270-1,59,6:05:00 AM,n_a,1,1,0,7,3,0,0,7,2,6:15:00 AM,0,Y,no recording; SONGMETER NOT WORKING,59,31/07/2013
24/05/2013,CO10271,CO10271-1,59,5:30:00 AM,n_a,1,1,0,7,1,1,0,6,1,5:40:00 AM,0,N,"no recording, coyotes howling throughout",59,31/07/2013
26/05/2013,CO10282,CO10282-1,98,6:22:00 AM,n_a,1,0,0,7,2,0,0,8,2,6:32:00 AM,0,Y,"CHSP AFTER, COYOTE TIME 3.",98,31/07/2013
26/05/2013,CO10290,CO10290-1,59,7:37:00 AM,n_a,1,2,0,11,3,3,0,9,3,7:47:00 AM,0,Y,no recording; OSPR NEST AT 40M E OF PC CENTER; MOVED PC 70M TO AVOID BEING ATTACKED BY AGGRESSIVE OSPR,59,31/07/2013
01/06/2013,CO10403,CO10403-1,41,9:23:00 AM,n_a,1,1,0,14,3,1,0,15,3,9:33:00 AM,2,Y,Road noise.,41,31/07/2013
01/06/2013,CO10404,CO10404-1,41,7:43:00 AM,n_a,1,0,0,12,3,0,0,13,3,7:53:00 AM,2,Y,"Road noise. Lots of birds; listen HARD to recording! But when went to stop recorder, it was already off - when did it shut off/end? Did it record",41,31/07/2013
01/06/2013,CO10405,CO10405-1,41,8:53:00 AM,n_a,1,1,0,14,3,2,0,14,3,9:03:00 AM,2,Y,"Road noise. The two CHSP sounded like one, but I am pretty sure there are two. (Verify with recording?)",41,31/07/2013
01/06/2013,CO10406,CO10406-1,41,7:07:00 AM,n_a,1,0,0,12,3,,,,,7:17:00 AM,2,Y,Road noise.  Did not complete post-PC temp/wind/precip/cloud. Forgot.,41,31/07/2013
01/06/2013,CO10407,CO10407-1,41,8:19:00 AM,n_a,1,0,1,13,3,0,0,13,3,8:29:00 AM,2,Y,Road noise.,41,31/07/2013
01/06/2013,CO10408,CO10408-1,41,6:36:00 AM,n_a,1,0,0,11,3,0,0,11,3,6:46:00 AM,3,N,"Road noise. The 2 UNKNs at 0:50 called/sang the whole time, then it seemed one turned into a full song of a GCKI… this possible? UNKN (8:47) may have been one of the YRWAs that was CS in SW; after it sang, one of the two CS YRWA dissapeared…",41,31/07/2013
01/06/2013,CO10409,CO10409-1,41,9:55:00 AM,n_a,1,0,0,14,3,0,1,14,3,10:05:00 AM,2,Y,Noise from road.,41,31/07/2013
01/06/2013,CO10410,CO10410-1,41,5:58:00 AM,n_a,1,0,0,10,3,0,0,10,3,6:08:00 AM,2,Y,Road noise.,41,31/07/2013
01/06/2013,CO10411,CO10411-1,41,4:50:00 AM,n_a,1,0,0,12,3,0,0,10,2,5:00:00 AM,0,Y,,41,31/07/2013
01/06/2013,CO10412,CO10412-1,41,5:25:00 AM,n_a,1,0,0,12,2,0,0,10,3,5:35:00 AM,2,Y,Road noise.,41,31/07/2013
01/06/2013,CO10416,CO10416-1,86,4:53:00 AM,n_a,1,0,0,10,3,0,0,8,3,5:03:00 AM,0,Y,LOUD NOISE ~8MIN IN (ROAD AND HELICOPTER) MAKING IT DIFFICULT TO HEAR,86,31/07/2013
01/06/2013,CO10417,CO10417-1,86,5:48:00 AM,n_a,1,0,0,10,3,0,0,10,3,5:58:00 AM,2,Y,ROAD NEAR BY,86,31/07/2013
01/06/2013,CO10418,CO10418-1,86,9:44:00 AM,n_a,1,0,0,14,3,0,0,14,3,9:54:00 AM,3,Y,"NO AUDIO, RECORDING FILE ERROR",86,31/07/2013
01/06/2013,CO10419,CO10419-1,86,6:26:00 AM,n_a,1,0,0,10,3,0,1,11,3,6:36:00 AM,2,Y,,86,31/07/2013
01/06/2013,CO10420,CO10420-1,86,9:07:00 AM,n_a,1,2,0,13,3,2,0,14,3,9:17:00 AM,3,Y,"SOME LOUD NOISE, POSSIBLY MISSING SOME INDIVIDUALS OVER 50M. VERY QUIET PC REGARDLESS BECAUSE SHOULD HAVE BEEN ABLE TO HEAR ALL BIRDS W/IN 50M. RCKI AND POSSIBLE HETH (UNKN 4) TOO FAR TO DETERMING DISTANCE/DIRECTION ACCURATELY",86,31/07/2013
01/06/2013,CO10421,CO10421-1,86,7:00:00 AM,n_a,1,0,1,11,3,0,0,12,3,7:10:00 AM,2,Y,,86,31/07/2013
01/06/2013,CO10423,CO10423-1,86,7:38:00 AM,n_a,1,1,0,12,3,1,0,12,3,7:48:00 AM,2,Y,,86,31/07/2013
01/06/2013,CO10424,CO10424-1,86,8:18:00 AM,n_a,1,0,1,13,3,,,,,8:28:00 AM,2,Y,"FORGOT FINAL TEMP.  NO AUDIO, RECORDING FILE ERROR",86,31/07/2013
02/06/2013,CO10601,CO10601-1,2,8:30:00 AM,n_a,1,0,0,14,2,0,0,13,2,8:40:00 AM,1,Y,,2,31/07/2013
02/06/2013,CO10602,CO10602-1,2,8:06:00 AM,n_a,1,0,0,12,3,0,0,13,3,8:16:00 AM,1,Y,,2,31/07/2013
02/06/2013,CO10604,CO10604-1,2,7:31:00 AM,n_a,1,0,0,11,3,0,0,11,3,7:41:00 AM,1,Y,,2,31/07/2013
02/06/2013,CO10609,CO10609-1,2,6:56:00 AM,n_a,1,0,0,9,2,0,0,10,2,7:06:00 AM,1,Y,,2,31/07/2013
02/06/2013,CO10610,CO10610-1,2,6:00:00 AM,n_a,1,0,0,9,1,0,0,8,2,6:10:00 AM,1,Y,,2,31/07/2013
02/06/2013,CO10611,CO10611-1,2,4:57:00 AM,n_a,1,0,0,10,2,0,0,10,2,5:07:00 AM,0,Y,,2,31/07/2013
02/06/2013,CO10613,CO10613-1,2,6:25:00 AM,n_a,1,0,0,9,3,0,0,9,3,6:35:00 AM,1,Y,,2,31/07/2013
02/06/2013,CO10614,CO10614-1,59,5:47:00 AM,n_a,1,0,0,10,2,1,0,9,1,5:57:00 AM,2,Y,VEHICLES ON HWY AND BUGS NOISY,59,31/07/2013
02/06/2013,CO10615,CO10615-1,98,7:04:00 AM,n_a,1,0,0,9,1,0,0,9,1,7:14:00 AM,1,Y,"NO RECORDING, BATTERY DISPLACED.",98,31/07/2013
02/06/2013,CO10616,CO10616-1,59,5:17:00 AM,n_a,1,1,2,16,3,1,0,11,3,5:27:00 AM,2,Y,LOUD MOSQUITOES,59,31/07/2013
02/06/2013,CO10617,CO10617-1,59,6:25:00 AM,n_a,1,1,2,11,0,0,2,10,0,6:35:00 AM,0,Y,faulty recording,59,31/07/2013
02/06/2013,CO10618,CO10618-1,59,6:58:00 AM,n_a,1,0,0,11,1,0,0,11,2,7:08:00 AM,2,Y,,59,31/07/2013
02/06/2013,CO10619,CO10619-1,98,6:22:00 AM,n_a,1,0,0,9,1,0,0,9,1,6:32:00 AM,1,Y,BHVI AFTER.,98,31/07/2013
02/06/2013,CO10620,CO10620-1,98,5:47:00 AM,n_a,1,0,0,9,1,0,0,10,1,5:57:00 AM,2,Y,"NOISE BUGS, TRAFFIC.",98,31/07/2013
02/06/2013,CO10621,CO10621-1,98,5:16:00 AM,n_a,1,1,0,10,3,1,0,10,3,5:26:00 AM,1,Y,CLEARCUT.,98,31/07/2013
02/06/2013,CO10622,CO10622-1,98,7:58:00 AM,n_a,1,0,0,11,2,0,0,12,2,8:08:00 AM,1,Y,GRAJ?,98,31/07/2013
02/06/2013,CO10623,CO10623-1,98,8:59:00 AM,n_a,1,0,0,13,3,0,0,14,3,9:09:00 AM,1,Y,WISN WINNOWING AFTER,98,31/07/2013
02/06/2013,CO10624,CO10624-1,98,8:30:00 AM,n_a,1,0,0,12,2,0,0,13,2,8:40:00 AM,2,Y,NOISE VEHICLES.,98,31/07/2013
02/06/2013,CO10685,CO10685-1,98,9:46:00 AM,n_a,1,0,0,15,1,0,0,17,1,9:56:00 AM,2,Y,"PISI FO AFTER, BEFORE. NOISE BUGS AND VEHICLES.",98,31/07/2013
02/06/2013,CO10690,CO10690-1,59,7:34:00 AM,n_a,1,0,0,12,3,0,0,12,2,7:44:00 AM,2,Y,DIFFICULT TO HEAR BIRDS >50M; BUGS AND MACHINERY NOISE,59,31/07/2013
02/06/2013,CO10691,CO10691-1,59,8:11:00 AM,n_a,1,0,0,13,3,0,0,13,3,8:21:00 AM,0,Y,FAULTY RECORDING; LOTS OF BUGS,59,31/07/2013
02/06/2013,CO10692,CO10692-1,59,8:42:00 AM,n_a,1,2,0,14,3,3,0,14,3,8:52:00 AM,2,Y,"BUGS, WIND AND MACHINERY NOISE",59,31/07/2013
02/06/2013,CO10693,CO10693-1,59,9:18:00 AM,n_a,1,2,0,14,3,2,0,14,3,9:28:00 AM,2,Y,DIFFICULT TO HEAR BIRDS; FEW BIRDS DUR TO MORNING THUNDERSTORM OR EXTENSIVE HABITAT FRAGMENTATION IN THIS AREA?,59,31/07/2013
02/06/2013,CO10694,CO10694-1,2,5:32:00 AM,n_a,1,0,0,11,3,0,0,11,3,5:42:00 AM,1,Y,,2,31/07/2013
03/06/2013,CO10701,CO10701-1,98,5:27:00 AM,n_a,1,0,0,-1,0,0,0,-1,0,5:37:00 AM,1,N,NO RECORDING DUE TO BATTERIES. NOISE COMPRESSOR STATION.,98,31/07/2013
03/06/2013,CO10702,CO10702-1,98,7:51:00 AM,n_a,1,0,0,11,0,0,0,13,0,8:01:00 AM,2,N,"MAWA, RCKI? NOISE BUGS, COMPRESSOR STATION.",98,31/07/2013
03/06/2013,CO10703,CO10703-1,98,5:59:00 AM,n_a,1,0,0,0,0,0,0,0,0,6:09:00 AM,2,N,"NOISE COMPRESSOR STATION, AIRCRAFT.",98,31/07/2013
03/06/2013,CO10704,CO10704-1,98,4:45:00 AM,n_a,1,0,0,1,0,0,0,-1,0,4:55:00 AM,0,N,BAWW AFTER.,98,31/07/2013
03/06/2013,CO10705,CO10705-1,98,7:09:00 AM,n_a,1,0,0,7,0,0,0,8,0,7:19:00 AM,2,N,"GRAJ, BOCH AFTER. NOISE COMPRESSOR STATION.",98,31/07/2013
03/06/2013,CO10706,CO10706-1,98,6:31:00 AM,n_a,1,0,0,1,0,0,0,3,0,6:41:00 AM,2,N,"PISI FROM EARLIER PC, NOISE COMPRESSOR STATION.",98,31/07/2013
03/06/2013,CO10707,CO10707-1,98,9:23:00 AM,n_a,1,2,0,17,0,3,0,18,0,9:33:00 AM,1,N,"NOISE BUGS, AIRCRAFT.",98,31/07/2013
03/06/2013,CO10708,CO10708-1,98,8:39:00 AM,n_a,1,1,0,16,0,1,0,18,0,8:49:00 AM,1,N,WIWR?,98,31/07/2013
03/06/2013,CO10709,CO10709-1,2,5:26:00 AM,n_a,1,0,0,4,0,0,0,2,0,5:36:00 AM,1,N,INDUSTRIAL NOISE,2,31/07/2013
03/06/2013,CO10710,CO10710-1,2,5:47:00 AM,n_a,1,0,0,4,0,0,0,4,0,5:57:00 AM,1,N,,2,31/07/2013
03/06/2013,CO10711,CO10711-1,2,4:58:00 AM,n_a,1,0,0,10,0,0,0,5,0,5:08:00 AM,1,N,,2,31/07/2013
03/06/2013,CO10712,CO10712-1,59,8:57:00 AM,n_a,1,1,0,22,0,2,0,24,0,9:07:00 AM,0,N,WIND GUSTING TO 3; FAULTY RECORDING,59,31/07/2013
03/06/2013,CO10714,CO10714-1,2,6:23:00 AM,n_a,1,0,0,4,0,0,0,4,0,6:33:00 AM,1,N,,2,31/07/2013
03/06/2013,CO10715,CO10715-1,2,6:51:00 AM,n_a,1,0,0,6,0,0,0,6,0,7:01:00 AM,1,N,,2,31/07/2013
03/06/2013,CO10716,CO10716-1,59,8:29:00 AM,n_a,1,2,0,14,0,2,0,14,0,8:39:00 AM,0,N,,59,31/07/2013
03/06/2013,CO10717,CO10717-1,2,7:15:00 AM,n_a,1,0,0,7,0,1,0,8,0,7:25:00 AM,1,N,,2,31/07/2013
03/06/2013,CO10718,CO10718-1,2,8:36:00 AM,n_a,1,0,0,13,0,0,0,13,0,8:46:00 AM,1,N,LAKE NEARBY,2,31/07/2013
03/06/2013,CO10719,CO10719-1,2,7:45:00 AM,n_a,1,1,0,9,0,0,0,10,0,7:55:00 AM,1,N,,2,31/07/2013
03/06/2013,CO10720,CO10720-1,2,9:04:00 AM,n_a,1,0,0,16,0,0,0,16,0,9:14:00 AM,1,N,JET FLEW OVER,2,31/07/2013
03/06/2013,CO10721,CO10721-1,2,8:11:00 AM,n_a,1,0,0,12,0,0,0,13,0,8:21:00 AM,1,N,VERY QUIET PC,2,31/07/2013
03/06/2013,CO10722,CO10722-1,59,7:54:00 AM,n_a,1,0,0,7,0,0,0,7,0,8:04:00 AM,1,N,MACHINE NOISE,59,31/07/2013
03/06/2013,CO10724,CO10724-1,59,6:40:00 AM,n_a,1,0,0,1,0,1,0,1,0,6:50:00 AM,2,N,"PLANES, RIVER AND RESQ NOISE",59,31/07/2013
03/06/2013,CO10790,CO10790-1,59,5:23:00 AM,n_a,1,0,0,0,0,0,0,-1,0,5:33:00 AM,2,N,MACHINE,59,31/07/2013
03/06/2013,CO10791,CO10791-1,59,6:02:00 AM,n_a,1,0,0,0,0,0,0,0,0,6:12:00 AM,2,N,JET NOISE,59,31/07/2013
03/06/2013,CO10792,CO10792-1,59,4:55:00 AM,n_a,1,0,0,-1,0,0,0,-1,0,5:05:00 AM,2,N,MACHINE NOISE COMING FROM WEST,59,31/07/2013
03/06/2013,CO10793,CO10793-1,59,7:04:00 AM,n_a,1,1,0,3,0,1,0,4,0,7:14:00 AM,2,N,MACHINES AND RIVER NOISE,59,31/07/2013
03/06/2013,CO10794,CO10794-1,59,9:27:00 AM,n_a,1,3,0,18,0,3,0,18,0,9:37:00 AM,3,N,"REPLACES 13, WHICH WAS IN A PJ PATCH; VERY WINDY AND NOISE FROM PLANES; WIND GUSTS TO 4/5 NEAR END",59,31/07/2013
07/06/2013,CO12102,CO12102-1,98,7:14:00 AM,n_a,1,1,0,11,3,1,0,11,3,7:24:00 AM,1,N,"PIWO BEFORE, RBGR?",98,31/07/2013
07/06/2013,CO12106,CO12106-1,98,8:42:00 AM,n_a,1,2,0,16,2,2,0,17,3,8:52:00 AM,2,N,NOISE BUGS,98,31/07/2013
07/06/2013,CO12108,CO12108-1,98,5:05:00 AM,n_a,1,2,0,13,3,2,0,10,3,5:15:00 AM,2,N,"AMRE BEFORE, OVEN? NOISE GUSTS 3W, 2N.",98,31/07/2013
07/06/2013,CO12109,CO12109-1,98,9:59:00 AM,n_a,1,1,0,17,3,1,0,19,3,10:09:00 AM,1,N,,98,31/07/2013
07/06/2013,CO12111,CO12111-1,2,6:55:00 AM,n_a,1,2,0,9,3,3,0,9,3,7:05:00 AM,0,N,,2,31/07/2013
07/06/2013,CO12115,CO12115-1,59,7:48:00 AM,n_a,1,1,0,12,3,1,0,11,3,7:58:00 AM,0,N,,59,31/07/2013
07/06/2013,CO12117,CO12117-1,98,8:07:00 AM,n_a,1,2,0,13,3,2,0,14,3,8:17:00 AM,1,N,"GUSTS 3W, 2N",98,31/07/2013
07/06/2013,CO12122,CO12122-1,59,4:55:00 AM,n_a,1,2,0,12,3,2,0,10,3,5:05:00 AM,0,N,NOISE TO 3 AT PARTS (RADIOS); WIND GUSTING TO 3,59,31/07/2013
07/06/2013,CO12170,CO12170-1,2,5:00:00 AM,n_a,1,3,0,11,3,3,0,11,3,5:10:00 AM,1,N,SLIGHTLY WINDY,2,31/07/2013
07/06/2013,CO12171,CO12171-1,2,5:42:00 AM,n_a,1,2,0,8,3,3,0,8,3,5:52:00 AM,0,N,,2,31/07/2013
07/06/2013,CO12172,CO12172-1,2,6:13:00 AM,n_a,1,3,1,9,3,3,0,9,3,6:23:00 AM,0,N,WINDY,2,31/07/2013
07/06/2013,CO12173,CO12173-1,2,7:27:00 AM,n_a,1,1,0,9,3,1,1,10,3,7:37:00 AM,0,N,,2,31/07/2013
07/06/2013,CO12180,CO12180-1,2,8:58:00 AM,n_a,1,1,0,12,3,1,0,13,3,9:08:00 AM,0,N,CHASED BY BEAR - PREDATORY,2,31/07/2013
07/06/2013,CO12181,CO12181-1,98,5:47:00 AM,n_a,1,1,0,9,3,1,0,9,3,5:57:00 AM,1,N,,98,31/07/2013
07/06/2013,CO12182,CO12182-1,98,6:32:00 AM,n_a,1,1,0,10,3,1,0,10,3,6:42:00 AM,2,N,NOISE GUSTS 2W AND BUGS,98,31/07/2013
07/06/2013,CO12183,CO12183-1,98,9:16:00 AM,n_a,1,3,0,18,3,3,0,16,3,9:26:00 AM,2,N,"LEFL AND GRAJ? GUSTS 5W, 3N",98,31/07/2013
07/06/2013,CO12190,CO12190-1,59,5:33:00 AM,n_a,1,1,0,9,3,2,0,8,3,5:43:00 AM,0,N,,59,31/07/2013
07/06/2013,CO12191,CO12191-1,59,6:06:00 AM,n_a,1,2,0,11,3,3,0,11,3,6:16:00 AM,0,N,WIND GUSTING TO 3,59,31/07/2013
07/06/2013,CO12192,CO12192-1,59,6:34:00 AM,n_a,1,2,0,11,3,3,0,11,3,6:44:00 AM,0,N,WIND GUSTING TO 3/4,59,31/07/2013
07/06/2013,CO12193,CO12193-1,59,7:10:00 AM,n_a,1,2,0,12,3,3,0,12,3,7:20:00 AM,0,N,DIFFICULT TO HEAR BIRDS >50M DUE TO WIND; WIND GUSTING AT 3 THROUGHOUT PC,59,31/07/2013
07/06/2013,CO12194,CO12194-1,59,8:30:00 AM,n_a,1,2,0,14,2,3,0,15,2,8:40:00 AM,2,N,,59,31/07/2013
07/06/2013,CO12195,CO12195-1,59,9:19:00 AM,n_a,1,2,0,,3,3,0,,3,9:29:00 AM,2,N,TOO WINDY FOR SONGMETER; LOUD BUGS,59,31/07/2013
05/06/2013,CO12203,CO12203-1,98,5:41:00 AM,n_a,1,1,0,8,0,3,0,7,0,5:51:00 AM,2,N,WETA? NOISE WIND AND BUGS,98,31/07/2013
05/06/2013,CO12209,CO12209-1,2,6:03:00 AM,n_a,1,2,0,10,0,3,0,11,0,6:13:00 AM,0,N,,2,31/07/2013
05/06/2013,CO12220,CO12220-1,2,5:31:00 AM,n_a,1,2,0,9,0,2,0,9,0,5:41:00 AM,0,N,,2,31/07/2013
05/06/2013,CO12270,CO12270-1,2,4:55:00 AM,n_a,1,2,0,11,1,3,0,8,1,5:05:00 AM,0,N,,2,31/07/2013
05/06/2013,CO12276,CO12276-1,2,6:39:00 AM,n_a,1,2,0,12,0,3,0,15,0,6:49:00 AM,0,N,ACTIVE MACHINERY HEAR ON POINTCOUNT,2,31/07/2013
05/06/2013,CO12277,CO12277-1,2,7:00:00 AM,n_a,1,3,0,14,0,3,0,14,0,7:10:00 AM,1,N,LOGGIN TRUCKS AND EQUIPMENT-NEW CUTBLOCK,2,31/07/2013
05/06/2013,CO12280,CO12280-1,98,5:02:00 AM,n_a,1,2,0,12,0,2,0,9,0,5:12:00 AM,2,N,"TRES BEFORE, RUGR 615? NOISE WIND, BUGS.",98,31/07/2013
05/06/2013,CO12290,CO12290-1,59,4:41:00 AM,n_a,1,2,0,10,0,2,0,8,0,4:51:00 AM,1,N,WIWR SINGING BEFORE PC; NOISE DUE TO WIND AND BUGS,59,31/07/2013
05/06/2013,CO12291,CO12291-1,59,5:08:00 AM,n_a,1,2,0,9,0,3,0,8,0,5:18:00 AM,2,N,WIND GUSTING TO 3/4 THROUGHOUT; DIFFICULT TO HEAR BIRDS >50M; WINDED OUT OF SA AFTER THIS PC,59,31/07/2013
29/05/2013,CO12301,CO12301-1,98,6:57:00 AM,n_a,1,1,0,13,3,1,0,13,3,7:07:00 AM,1,N,NO RECORDING DUE TO DRIZZLE. NOISE AIRCRAFT,98,31/07/2013
29/05/2013,CO12305,CO12305-1,59,6:40:00 AM,n_a,1,1,2,12,3,1,2,12,3,6:50:00 AM,1,N,NO RECORDING; AIRPLANE NOISE,59,31/07/2013
29/05/2013,CO12313,CO12313-1,59,8:38:00 AM,n_a,1,1,0,16,3,1,0,16,3,8:48:00 AM,2,N,WOLVES CALLING; BURN NEARBY; NO RECORDING,59,31/07/2013
29/05/2013,CO12316,CO12316-1,59,7:21:00 AM,n_a,1,1,0,13,3,1,0,13,3,7:31:00 AM,2,N,NO RECORDING; AIRPLANE NOISE,59,31/07/2013
29/05/2013,CO12317,CO12317-1,59,7:49:00 AM,n_a,1,0,0,14,3,1,0,14,3,7:59:00 AM,1,N,NO RECORDING; AIRPLANE NOISE,59,31/07/2013
29/05/2013,CO12320,CO12320-1,59,5:02:00 AM,n_a,1,2,0,12,3,2,0,10,3,5:12:00 AM,0,N,NO RECORDING; COLO HEARD AFTER PC,59,31/07/2013
29/05/2013,CO12380,CO12380-1,98,5:08:00 AM,n_a,1,1,0,14,3,1,0,12,3,5:18:00 AM,1,N,,98,31/07/2013
29/05/2013,CO12381,CO12381-1,98,5:46:00 AM,n_a,1,2,0,11,3,2,0,12,3,5:56:00 AM,1,N,"SWTH CALL BEFORE, AFTER.",98,31/07/2013
29/05/2013,CO12382,CO12382-1,98,6:30:00 AM,n_a,1,2,2,12,3,2,3,12,3,6:40:00 AM,2,N,NO RECORDING DUE TO DRIZZLE.,98,31/07/2013
29/05/2013,CO12383,CO12383-1,98,7:29:00 AM,n_a,1,1,0,12,3,1,0,12,3,7:39:00 AM,1,N,"SACR FROM EARLIER PC, NOFL AFTER.",98,31/07/2013
29/05/2013,CO12384,CO12384-1,98,8:27:00 AM,n_a,1,1,2,14,3,1,0,16,3,8:37:00 AM,0,N,"NO RECORDING DUE TO DRIZZLE. SWAMPY AREAS NEARBY. RTHA FLUSHED BEFORE, GRAJ AND HETH AFTER.",98,31/07/2013
29/05/2013,CO12385,CO12385-1,98,9:05:00 AM,n_a,1,1,0,16,3,2,0,18,3,9:15:00 AM,0,N,RCKI AND NOFL FROM EARLIER PC. MAWA AFTER. SWAMP AREAS ON BOTH SIDES >200M.,98,31/07/2013
29/05/2013,CO12390,CO12390-1,59,5:39:00 AM,n_a,1,2,0,12,3,2,2,12,3,5:49:00 AM,0,N,NO RECORDING; BWHA NEST IN LARGE ASPEN,59,31/07/2013
29/05/2013,CO12391,CO12391-1,59,6:14:00 AM,n_a,1,2,0,12,3,2,2,12,3,6:24:00 AM,0,N,no recording; WIND GUSTING TO 3,59,31/07/2013
29/05/2013,CO12392,CO12392-1,59,8:10:00 AM,n_a,1,0,0,14,3,0,0,15,3,8:20:00 AM,2,N,AIRPLANE NOISE AND LOUD YELLING; MUST BE WETLAND NEARBY; NO RECORDING,59,31/07/2013
27/05/2013,CO12405,CO12405-1,59,5:49:00 AM,n_a,1,0,0,3,0,0,0,1,0,5:59:00 AM,1,N,NO RECORDING; CREEK NOISE,59,31/07/2013
27/05/2013,CO12407,CO12407-1,59,6:54:00 AM,n_a,1,0,0,7,0,1,0,9,0,7:04:00 AM,1,N,NO RECORDING; AT LEAST 3 WOLVES CALLING/BARKING THROUGHOUT,59,31/07/2013
27/05/2013,CO12409,CO12409-1,59,7:29:00 AM,n_a,1,0,0,10,0,0,0,15,0,7:39:00 AM,0,N,NO RECORDING,59,31/07/2013
27/05/2013,CO12410,CO12410-1,59,6:17:00 AM,n_a,1,0,0,3,0,0,0,2,0,6:27:00 AM,2,N,NO RECORDING; WIWA MALE OBSERVED AFTER PC WITH PLAYBACK; RESQ AGGITATED CALL CONSTANT,59,31/07/2013
27/05/2013,CO12480,CO12480-1,98,5:59:00 AM,n_a,1,0,0,4,0,0,0,2,0,6:09:00 AM,0,N,,98,31/07/2013
27/05/2013,CO12481,CO12481-1,98,8:06:00 AM,n_a,1,1,0,13,1,1,0,14,1,8:16:00 AM,0,N,CREEK 250M NORTH,98,31/07/2013
27/05/2013,CO12482,CO12482-1,98,9:27:00 AM,n_a,1,1,0,21,0,1,0,22,0,9:37:00 AM,0,N,WISN FROM EARLIER PC,98,31/07/2013
27/05/2013,CO12483,CO12483-1,98,10:08:00 AM,n_a,1,2,0,21,0,3,0,19,0,10:18:00 AM,0,N,SHRUBBY FEN EAST FOR WIWA,98,31/07/2013
27/05/2013,CO12490,CO12490-1,59,8:14:00 AM,n_a,1,0,0,14,0,0,0,14,0,8:24:00 AM,0,N,NO RECORDING,59,31/07/2013
27/05/2013,CO12491,CO12491-1,59,10:18:00 AM,n_a,1,0,0,22,1,1,0,20,1,10:28:00 AM,0,N,NO RECORDING; BAEA SEEN FLYING OVER BEFORE PC BEING MOBBED BY UNIDENTIFIED HAWK,59,31/07/2013
01/06/2013,CO12608,CO12608-1,59,9:18:00 AM,n_a,1,1,2,17,3,1,2,16,3,9:28:00 AM,0,Y,,59,31/07/2013
01/06/2013,CO12610,CO12610-1,59,8:40:00 AM,n_a,1,2,0,14,3,2,0,14,3,8:50:00 AM,1,Y,WISN FT BEFORE PC; WIND NOISE,59,31/07/2013
01/06/2013,CO12613,CO12613-1,59,5:51:00 AM,n_a,1,0,0,10,3,0,0,10,3,6:01:00 AM,2,Y,NO RECORDING; SAME COLO AS LAST PC HEARD AGAIN,59,31/07/2013
01/06/2013,CO12614,CO12614-1,59,5:12:00 AM,n_a,1,0,0,11,3,0,0,10,3,5:22:00 AM,0,Y,NO RECORDING; SAME COLO AS LAST PC HEARD AGAIN,59,31/07/2013
01/06/2013,CO12615,CO12615-1,59,4:44:00 AM,n_a,1,0,0,11,3,0,0,7,3,4:54:00 AM,0,Y,NO RECORDING,59,31/07/2013
01/06/2013,CO12617,CO12617-1,98,6:29:00 AM,n_a,1,1,0,12,3,1,0,12,3,6:39:00 AM,2,Y,NOISE TRAIN,98,31/07/2013
01/06/2013,CO12618,CO12618-1,98,4:39:00 AM,n_a,1,0,0,10,2,0,0,8,2,4:49:00 AM,1,Y,,98,31/07/2013
01/06/2013,CO12619,CO12619-1,98,8:33:00 AM,n_a,1,2,0,14,3,3,0,14,3,8:43:00 AM,1,Y,NOISE FROGS AND BUGS,98,31/07/2013
01/06/2013,CO12620,CO12620-1,98,5:51:00 AM,n_a,1,0,0,10,3,0,0,10,3,6:01:00 AM,1,Y,"OSFL AND WEWP FROM EARLIER PC, HETH AFTER",98,31/07/2013
01/06/2013,CO12621,CO12621-1,98,7:06:00 AM,n_a,1,1,0,13,3,1,0,13,3,7:16:00 AM,2,Y,NOISE TRAIN,98,31/07/2013
01/06/2013,CO12622,CO12622-1,98,5:18:00 AM,n_a,1,0,0,10,2,0,0,10,2,5:28:00 AM,1,Y,AMBI 525? NOISE FROGS AND BUGS,98,31/07/2013
01/06/2013,CO12624,CO12624-1,98,9:10:00 AM,n_a,1,3,0,15,3,3,0,15,3,9:20:00 AM,2,Y,"GRYE FROM EARLIER PC, NOISE WIND, FROGS, AND BUGS",98,31/07/2013
01/06/2013,CO12627,CO12627-1,98,7:47:00 AM,n_a,1,2,0,13,3,3,0,14,3,7:57:00 AM,1,Y,DEJU?,98,31/07/2013
01/06/2013,CO12690,CO12690-1,59,6:30:00 AM,n_a,1,0,0,11,3,1,0,12,3,6:40:00 AM,2,Y,NOISE TO 3 AT END (TRAFFIC AND BUGS); LOTS OF TRILLERS!,59,31/07/2013
01/06/2013,CO12691,CO12691-1,59,7:12:00 AM,n_a,1,1,0,13,3,1,2,13,3,7:22:00 AM,2,Y,VEHICLES AND BUG NOISE (REPLACES PC 16),59,31/07/2013
01/06/2013,CO12692,CO12692-1,59,8:05:00 AM,n_a,1,2,0,14,3,2,2,14,3,8:15:00 AM,2,Y,"RNGR STILL HEARD; NOISE FROM INDUSTRY AND WIND; FN5 PATCH ON MAP IS JUST A RESIDUAL IN THE BURN (NOT A REAL ""EDGE"")",59,31/07/2013
01/06/2013,CO12693,CO12693-1,59,9:54:00 AM,n_a,1,2,2,15,3,2,3,15,3,10:04:00 AM,2,Y,WIND GUSTS TO 3,59,31/07/2013
04/06/2013,CO12704,CO12704-1,2,4:55:00 AM,n_a,1,0,0,2,0,0,0,2,0,5:05:00 AM,3,N,Loud Compressor Stn,2,31/07/2013
