Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,
CO10692,CO106,NAD83,No,n_a,n_a,n_a,-110.769142,55.445797,GPS,point,59,TRUE,02/06/2013,Road,,,,,
CO10693,CO106,NAD83,No,n_a,n_a,n_a,-110.755997,55.447321,GPS,point,59,TRUE,02/06/2013,Road,,,,,
CO10694,CO106,NAD83,No,n_a,n_a,n_a,-110.800711,55.43177,GPS,point,2,TRUE,02/06/2013,Road,,,,,
CO10701,CO107,NAD83,No,n_a,n_a,n_a,-110.592342,55.372819,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10702,CO107,NAD83,No,n_a,n_a,n_a,-110.594127,55.383833,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10703,CO107,NAD83,No,n_a,n_a,n_a,-110.591263,55.376039,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10704,CO107,NAD83,No,n_a,n_a,n_a,-110.587066,55.372938,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10705,CO107,NAD83,No,n_a,n_a,n_a,-110.588658,55.380704,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10706,CO107,NAD83,No,n_a,n_a,n_a,-110.587048,55.378077,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10707,CO107,NAD83,No,n_a,n_a,n_a,-110.58541,55.395087,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10708,CO107,NAD83,No,n_a,n_a,n_a,-110.582131,55.387465,GIS,point,98,TRUE,03/06/2013,Road,,,,,
CO10709,CO107,NAD83,No,n_a,n_a,n_a,-110.573263,55.403423,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10710,CO107,NAD83,No,n_a,n_a,n_a,-110.567988,55.40355,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10711,CO107,NAD83,No,n_a,n_a,n_a,-110.566733,55.400766,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10712,CO107,NAD83,No,n_a,n_a,n_a,-110.551336,55.38231,GIS,point,59,TRUE,03/06/2013,Road,,,,,
CO10714,CO107,NAD83,No,n_a,n_a,n_a,-110.555028,55.40034,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10715,CO107,NAD83,No,n_a,n_a,n_a,-110.554536,55.404717,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10716,CO107,NAD83,No,n_a,n_a,n_a,-110.548444,55.379895,GIS,point,59,TRUE,03/06/2013,Road,,,,,
CO10717,CO107,NAD83,No,n_a,n_a,n_a,-110.555272,55.40812,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10718,CO107,NAD83,No,n_a,n_a,n_a,-110.550876,55.402418,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10719,CO107,NAD83,No,n_a,n_a,n_a,-110.550279,55.406728,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10720,CO107,NAD83,No,n_a,n_a,n_a,-110.54544,55.399098,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10721,CO107,NAD83,No,n_a,n_a,n_a,-110.545908,55.404785,GIS,point,2,TRUE,03/06/2013,Road,,,,,
CO10722,CO107,NAD83,No,n_a,n_a,n_a,-110.539736,55.382729,GIS,point,59,TRUE,03/06/2013,Road,,,,,
CO10724,CO107,NAD83,No,n_a,n_a,n_a,-110.529601,55.383755,GIS,point,59,TRUE,03/06/2013,Road,,,,,
CO10790,CO107,NAD83,No,n_a,n_a,n_a,-110.550098,55.394728,GPS,point,59,TRUE,03/06/2013,Road,,,,,
CO10791,CO107,NAD83,No,n_a,n_a,n_a,-110.540322,55.388882,GPS,point,59,TRUE,03/06/2013,Road,,,,,
CO10792,CO107,NAD83,No,n_a,n_a,n_a,-110.554752,55.395528,GPS,point,59,TRUE,03/06/2013,Road,,,,,
CO10793,CO107,NAD83,No,n_a,n_a,n_a,-110.528752,55.379039,GPS,point,59,TRUE,03/06/2013,Road,,,,,
CO10794,CO107,NAD83,No,n_a,n_a,n_a,-110.552147,55.386817,GPS,point,59,TRUE,03/06/2013,Road,,,,,
CO12102,CO121,NAD83,No,n_a,n_a,n_a,-110.498441,55.864898,GIS,point,98,TRUE,07/06/2013,Road,,,,,
CO12106,CO121,NAD83,No,n_a,n_a,n_a,-110.49689,55.85896,GIS,point,98,TRUE,07/06/2013,Road,,,,,
CO12108,CO121,NAD83,No,n_a,n_a,n_a,-110.515023,55.854653,GIS,point,98,TRUE,07/06/2013,Road,,,,,
CO12109,CO121,NAD83,No,n_a,n_a,n_a,-110.504363,55.853529,GIS,point,98,TRUE,07/06/2013,Road,,,,,
CO12111,CO121,NAD83,No,n_a,n_a,n_a,-110.541371,55.864748,GIS,point,2,TRUE,07/06/2013,Road,,,,,
CO12115,CO121,NAD83,No,n_a,n_a,n_a,-110.546502,55.849549,GIS,point,59,TRUE,07/06/2013,Road,,,,,
CO12117,CO121,NAD83,No,n_a,n_a,n_a,-110.490891,55.860305,GIS,point,98,TRUE,07/06/2013,Road,,,,,
CO12122,CO121,NAD83,No,n_a,n_a,n_a,-110.513724,55.84947,GIS,point,59,TRUE,07/06/2013,Road,,,,,
CO12170,CO121,NAD83,No,n_a,n_a,n_a,-110.522952,55.855209,GPS,point,2,TRUE,07/06/2013,Road,,,,,
CO12171,CO121,NAD83,No,n_a,n_a,n_a,-110.533796,55.858303,GPS,point,2,TRUE,07/06/2013,Road,,,,,
CO12172,CO121,NAD83,No,n_a,n_a,n_a,-110.533209,55.863411,GPS,point,2,TRUE,07/06/2013,Road,,,,,
CO12173,CO121,NAD83,No,n_a,n_a,n_a,-110.546179,55.868922,GPS,point,2,TRUE,07/06/2013,Road,,,,,
CO12180,CO121,NAD83,No,n_a,n_a,n_a,-110.516912,55.859029,GPS,point,2,TRUE,07/06/2013,Road,,,,,
CO12181,CO121,NAD83,No,n_a,n_a,n_a,-110.510538,55.858805,GPS,point,98,TRUE,07/06/2013,Road,,,,,
CO12182,CO121,NAD83,No,n_a,n_a,n_a,-110.506729,55.864066,GPS,point,98,TRUE,07/06/2013,Road,,,,,
CO12183,CO121,NAD83,No,n_a,n_a,n_a,-110.503905,55.860813,GPS,point,98,TRUE,07/06/2013,Road,,,,,
CO12190,CO121,NAD83,No,n_a,n_a,n_a,-110.518689,55.843625,GPS,point,59,TRUE,07/06/2013,Road,,,,,
CO12191,CO121,NAD83,No,n_a,n_a,n_a,-110.528404,55.846649,GPS,point,59,TRUE,07/06/2013,Road,,,,,
CO12192,CO121,NAD83,No,n_a,n_a,n_a,-110.532622,55.844852,GPS,point,59,TRUE,07/06/2013,Road,,,,,
CO12193,CO121,NAD83,No,n_a,n_a,n_a,-110.537678,55.845396,GPS,point,59,TRUE,07/06/2013,Road,,,,,
CO12194,CO121,NAD83,No,n_a,n_a,n_a,-110.536752,55.853461,GPS,point,59,TRUE,07/06/2013,Road,,,,,
CO12195,CO121,NAD83,No,n_a,n_a,n_a,-110.528243,55.849552,GPS,point,59,TRUE,07/06/2013,Road,,,,,
CO12203,CO122,NAD83,No,n_a,n_a,n_a,-111.358717,55.73738,GIS,point,98,TRUE,05/06/2013,Road,,,,,
CO12209,CO122,NAD83,No,n_a,n_a,n_a,-111.37758,55.736803,GIS,point,2,TRUE,05/06/2013,Road,,,,,
CO12220,CO122,NAD83,No,n_a,n_a,n_a,-111.371269,55.733853,GIS,point,2,TRUE,05/06/2013,Road,,,,,
CO12270,CO122,NAD83,No,n_a,n_a,n_a,-111.360796,55.730401,GPS,point,2,TRUE,05/06/2013,Road,,,,,
CO12276,CO122,NAD83,No,n_a,n_a,n_a,-111.369267,55.737115,GPS,point,2,TRUE,05/06/2013,Road,,,,,
CO12277,CO122,NAD83,No,n_a,n_a,n_a,-111.365514,55.735316,GPS,point,2,TRUE,05/06/2013,Road,,,,,
CO12280,CO122,NAD83,No,n_a,n_a,n_a,-111.352554,55.733304,GPS,point,98,TRUE,05/06/2013,Road,,,,,
CO12290,CO122,NAD83,No,n_a,n_a,n_a,-111.348967,55.720514,GPS,point,59,TRUE,05/06/2013,Road,,,,,
CO12291,CO122,NAD83,No,n_a,n_a,n_a,-111.352652,55.72234,GPS,point,59,TRUE,05/06/2013,Road,,,,,
CO12301,CO123,NAD83,No,n_a,n_a,n_a,-111.867327,55.213712,GIS,point,98,TRUE,29/05/2013,Road,,,,,
CO12305,CO123,NAD83,No,n_a,n_a,n_a,-111.882918,55.223095,Map,point,59,TRUE,29/05/2013,Road,,,,,
CO12313,CO123,NAD83,No,n_a,n_a,n_a,-111.861618,55.229556,GIS,point,59,TRUE,29/05/2013,Road,,,,,
CO12316,CO123,NAD83,No,n_a,n_a,n_a,-111.875151,55.226951,GIS,point,59,TRUE,29/05/2013,Road,,,,,
CO12317,CO123,NAD83,No,n_a,n_a,n_a,-111.869071,55.229308,GIS,point,59,TRUE,29/05/2013,Road,,,,,
CO12320,CO123,NAD83,No,n_a,n_a,n_a,-111.888815,55.215763,GIS,point,59,TRUE,29/05/2013,Road,,,,,
CO12380,CO123,NAD83,No,n_a,n_a,n_a,-111.882314,55.217704,GPS,point,98,TRUE,29/05/2013,Road,,,,,
CO12381,CO123,NAD83,No,n_a,n_a,n_a,-111.877027,55.212891,GPS,point,98,TRUE,29/05/2013,Road,,,,,
CO12382,CO123,NAD83,No,n_a,n_a,n_a,-111.865181,55.211508,GPS,point,98,TRUE,29/05/2013,Road,,,,,
CO12383,CO123,NAD83,No,n_a,n_a,n_a,-111.858904,55.215304,GPS,point,98,TRUE,29/05/2013,Road,,,,,
CO12384,CO123,NAD83,No,n_a,n_a,n_a,-111.849588,55.221719,GPS,point,98,TRUE,29/05/2013,Road,,,,,
CO12385,CO123,NAD83,No,n_a,n_a,n_a,-111.847519,55.224391,GPS,point,98,TRUE,29/05/2013,Road,,,,,
CO12390,CO123,NAD83,No,n_a,n_a,n_a,-111.888956,55.221291,GPS,point,59,TRUE,29/05/2013,Road,,,,,
CO12391,CO123,NAD83,No,n_a,n_a,n_a,-111.891087,55.224224,GPS,point,59,TRUE,29/05/2013,Road,,,,,
CO12392,CO123,NAD83,No,n_a,n_a,n_a,-111.864855,55.231647,GPS,point,59,TRUE,29/05/2013,Road,,,,,
CO12405,CO124,NAD83,No,n_a,n_a,n_a,-111.719639,55.434583,GIS,point,59,TRUE,27/05/2013,Road,,,,,
CO12407,CO124,NAD83,No,n_a,n_a,n_a,-111.723225,55.428666,GIS,point,59,TRUE,27/05/2013,Road,,,,,
CO12409,CO124,NAD83,No,n_a,n_a,n_a,-111.724153,55.425244,GIS,point,59,TRUE,27/05/2013,Road,,,,,
CO12410,CO124,NAD83,No,n_a,n_a,n_a,-111.724926,55.433038,GIS,point,59,TRUE,27/05/2013,Road,,,,,
CO12480,CO124,NAD83,No,n_a,n_a,n_a,-111.713999,55.434554,MAP,point,98,TRUE,27/05/2013,Road,,,,,
CO12481,CO124,NAD83,No,n_a,n_a,n_a,-111.70021,55.439855,GPS,point,98,TRUE,27/05/2013,Road,,,,,
CO12482,CO124,NAD83,No,n_a,n_a,n_a,-111.700223,55.436377,GPS,point,98,TRUE,27/05/2013,Road,,,,,
CO12483,CO124,NAD83,No,n_a,n_a,n_a,-111.697682,55.43295,GPS,point,98,TRUE,27/05/2013,Road,,,,,
CO12490,CO124,NAD83,No,n_a,n_a,n_a,-111.717274,55.423849,GPS,point,59,TRUE,27/05/2013,Road,,,,,
CO12491,CO124,NAD83,No,n_a,n_a,n_a,-111.689237,55.428562,GPS,point,59,TRUE,27/05/2013,Road,,,,,
CO12608,CO126,NAD83,No,n_a,n_a,n_a,-111.300198,55.432883,GIS,point,59,TRUE,01/06/2013,Road,,,,,
CO12610,CO126,NAD83,No,n_a,n_a,n_a,-111.304969,55.435551,GIS,point,59,TRUE,01/06/2013,Road,,,,,
CO12613,CO126,NAD83,No,n_a,n_a,n_a,-111.310849,55.439981,GIS,point,59,TRUE,01/06/2013,Road,,,,,
CO12614,CO126,NAD83,No,n_a,n_a,n_a,-111.314144,55.443516,GIS,point,59,TRUE,01/06/2013,Road,,,,,
CO12615,CO126,NAD83,No,n_a,n_a,n_a,-111.32073,55.444172,GIS,point,59,TRUE,01/06/2013,Road,,,,,
CO12617,CO126,NAD83,No,n_a,n_a,n_a,-111.32311,55.4396,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12618,CO126,NAD83,No,n_a,n_a,n_a,-111.322758,55.448355,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12619,CO126,NAD83,No,n_a,n_a,n_a,-111.326942,55.42936,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12620,CO126,NAD83,No,n_a,n_a,n_a,-111.326316,55.44248,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12621,CO126,NAD83,No,n_a,n_a,n_a,-111.327848,55.436944,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12622,CO126,NAD83,No,n_a,n_a,n_a,-111.329293,55.445231,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12624,CO126,NAD83,No,n_a,n_a,n_a,-111.332385,55.427119,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12627,CO126,NAD83,No,n_a,n_a,n_a,-111.332817,55.433315,GIS,point,98,TRUE,01/06/2013,Road,,,,,
CO12690,CO126,NAD83,No,n_a,n_a,n_a,-111.309628,55.43719,GPS,point,59,TRUE,01/06/2013,Road,,,,,
CO12691,CO126,NAD83,No,n_a,n_a,n_a,-111.322777,55.437488,GPS,point,59,TRUE,01/06/2013,Road,,,,,
CO12692,CO126,NAD83,No,n_a,n_a,n_a,-111.310519,55.43437,GPS,point,59,TRUE,01/06/2013,Road,,,,,
CO12693,CO126,NAD83,No,n_a,n_a,n_a,-111.298087,55.436886,GPS,point,59,TRUE,01/06/2013,Road,,,,,
CO12704,CO127,NAD83,No,n_a,n_a,n_a,-111.281408,55.707841,GIS,point,2,TRUE,04/06/2013,Road,,,,,
CO12708,CO127,NAD83,No,n_a,n_a,n_a,-111.287022,55.707281,GIS,point,2,TRUE,04/06/2013,Road,,,,,
CO12709,CO127,NAD83,No,n_a,n_a,n_a,-111.290078,55.710513,GIS,point,2,TRUE,04/06/2013,Road,,,,,
CO12710,CO127,NAD83,No,n_a,n_a,n_a,-111.294137,55.675876,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12711,CO127,NAD83,No,n_a,n_a,n_a,-111.294742,55.679034,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12714,CO127,NAD83,No,n_a,n_a,n_a,-111.295894,55.71193,GIS,point,2,TRUE,04/06/2013,Road,,,,,
CO12715,CO127,NAD83,No,n_a,n_a,n_a,-111.298615,55.707777,GIS,point,2,TRUE,04/06/2013,Road,,,,,
CO12716,CO127,NAD83,No,n_a,n_a,n_a,-111.303825,55.673175,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12717,CO127,NAD83,No,n_a,n_a,n_a,-111.312664,55.678114,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12719,CO127,NAD83,No,n_a,n_a,n_a,-111.313284,55.70172,GIS,point,98,TRUE,04/06/2013,Road,,,,,
CO12720,CO127,NAD83,No,n_a,n_a,n_a,-111.315842,55.674559,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12723,CO127,NAD83,No,n_a,n_a,n_a,-111.32184,55.679485,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12724,CO127,NAD83,No,n_a,n_a,n_a,-111.324286,55.682334,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12725,CO127,NAD83,No,n_a,n_a,n_a,-111.322642,55.702585,GIS,point,98,TRUE,04/06/2013,Road,,,,,
CO12727,CO127,NAD83,No,n_a,n_a,n_a,-111.32634,55.685243,GIS,point,59,TRUE,04/06/2013,Road,,,,,
CO12728,CO127,NAD83,No,n_a,n_a,n_a,-111.327194,55.705058,GIS,point,98,TRUE,04/06/2013,Road,,,,,
CO12730,CO127,NAD83,No,n_a,n_a,n_a,-111.330966,55.686915,GIS,point,98,TRUE,04/06/2013,Road,,,,,
CO12732,CO127,NAD83,No,n_a,n_a,n_a,-111.338789,55.701388,GIS,point,98,TRUE,04/06/2013,Road,,,,,
CO12733,CO127,NAD83,No,n_a,n_a,n_a,-111.340762,55.688595,GIS,point,98,TRUE,04/06/2013,Road,,,,,
CO12734,CO127,NAD83,No,n_a,n_a,n_a,-111.343303,55.698748,GIS,point,98,TRUE,04/06/2013,Road,,,,,
CO12780,CO127,NAD83,No,n_a,n_a,n_a,-111.312717,55.70494,GPS,point,98,TRUE,04/06/2013,Road,,,,,
CO12781,CO127,NAD83,No,n_a,n_a,n_a,-111.279982,55.702472,GPS,point,2,TRUE,04/06/2013,Road,,,,,
CO12782,CO127,NAD83,No,n_a,n_a,n_a,-111.282165,55.698978,MAP,point,2,TRUE,04/06/2013,Road,,,,,
CO12783,CO127,NAD83,No,n_a,n_a,n_a,-111.285499,55.705464,GPS,point,2,TRUE,04/06/2013,Road,,,,,
FT00204,FT002,NAD83,No,n_a,n_a,n_a,-111.217948,57.330122,GIS,point,64,TRUE,11/06/2012,Road,,,,,
FT00216,FT002,NAD83,No,n_a,n_a,n_a,-111.207237,57.32339,GIS,point,57,TRUE,11/06/2012,Road,,,,,
FT00281,FT002,NAD83,No,n_a,n_a,n_a,-111.210493,57.322009,GPS,point,57,TRUE,11/06/2012,Road,,,,,
FT00282,FT002,NAD83,No,n_a,n_a,n_a,-111.201276,57.308698,GPS,point,57,TRUE,11/06/2012,Road,,,,,
FT00283,FT002,NAD83,No,n_a,n_a,n_a,-111.194477,57.310977,GPS,point,57,TRUE,11/06/2012,Road,,,,,
FT00284,FT002,NAD83,No,n_a,n_a,n_a,-111.214192,57.31954,GIS,point,57,TRUE,11/06/2012,Road,,,,,
FT00285,FT002,NAD83,No,n_a,n_a,n_a,-111.223388,57.316101,GPS,point,57,TRUE,11/06/2012,Road,,,,,
FT00291,FT002,NAD83,No,n_a,n_a,n_a,-111.237584,57.321612,GPS,point,64,TRUE,11/06/2012,Road,,,,,
FT00292,FT002,NAD83,No,n_a,n_a,n_a,-111.238589,57.310803,GPS,point,64,TRUE,11/06/2012,Road,,,,,
FT00293,FT002,NAD83,No,n_a,n_a,n_a,-111.218861,57.333751,GPS,point,64,TRUE,11/06/2012,Road,,,,,
FT00294,FT002,NAD83,No,n_a,n_a,n_a,-111.203932,57.337546,GPS,point,64,TRUE,11/06/2012,Road,,,,,
FT00295,FT002,NAD83,No,n_a,n_a,n_a,-111.230399,57.329249,GPS,point,64,TRUE,11/06/2012,Road,,,,,
FT00296,FT002,NAD83,No,n_a,n_a,n_a,-111.226835,57.337399,GPS,point,64,TRUE,11/06/2012,Road,,,,,
FT00502,FT005,NAD83,No,n_a,n_a,n_a,-111.955145,57.018315,GIS,point,57,TRUE,06/06/2012,Road,,,,,
FT00515,FT005,NAD83,No,n_a,n_a,n_a,-111.939472,56.982189,GIS,point,57,TRUE,05/06/2012,Road,,,,,
FT00518,FT005,NAD83,No,n_a,n_a,n_a,-111.969219,56.994282,GIS,point,57,TRUE,05/06/2012,Road,,,,,
FT00523,FT005,NAD83,No,n_a,n_a,n_a,-111.949874,56.987832,GIS,point,57,TRUE,05/06/2012,Road,,,,,
FT00541,FT005,NAD83,No,n_a,n_a,n_a,-111.95372,56.990442,GIS,point,57,TRUE,05/06/2012,Road,,,,,
FT00542,FT005,NAD83,No,n_a,n_a,n_a,-111.960771,56.987808,GIS,point,57,TRUE,05/06/2012,Road,,,,,
FT00581,FT005,NAD83,No,n_a,n_a,n_a,-111.946292,56.981567,GPS,point,57,TRUE,05/06/2012,Road,,,,,
FT00582,FT005,NAD83,No,n_a,n_a,n_a,-111.929645,57.020631,GPS,point,57,TRUE,06/06/2012,Road,,,,,
FT00583,FT005,NAD83,No,n_a,n_a,n_a,-111.953824,56.982514,GPS,point,57,TRUE,05/06/2012,Road,,,,,
FT00803,FT008,NAD83,No,n_a,n_a,n_a,-111.715069,56.752939,GIS,point,64,TRUE,02/06/2012,Road,,,,,
FT00807,FT008,NAD83,No,n_a,n_a,n_a,-111.702064,56.755518,GIS,point,64,TRUE,02/06/2012,Road,,,,,
FT00814,FT008,NAD83,No,n_a,n_a,n_a,-111.722932,56.74101,GIS,point,64,TRUE,02/06/2012,Road,,,,,
FT00821,FT008,NAD83,No,n_a,n_a,n_a,-111.709703,56.743806,GIS,point,64,TRUE,02/06/2012,Road,,,,,
FT00822,FT008,NAD83,No,n_a,n_a,n_a,-111.71874,56.746892,GIS,point,64,TRUE,02/06/2012,Road,,,,,
FT00891,FT008,NAD83,No,n_a,n_a,n_a,-111.704639,56.752552,GPS,point,64,TRUE,02/06/2012,Road,,,,,
FT00892,FT008,NAD83,No,n_a,n_a,n_a,-111.707004,56.749969,GPS,point,64,TRUE,02/06/2012,Road,,,,,
FT00901,FT009,NAD83,No,n_a,n_a,n_a,-111.624032,56.766036,GIS,point,64,TRUE,03/06/2012,Road,,,,,
FT00917,FT009,NAD83,No,n_a,n_a,n_a,-111.643384,56.771592,GIS,point,64,TRUE,03/06/2012,Road,,,,,
FT00918,FT009,NAD83,No,n_a,n_a,n_a,-111.644055,56.777525,GIS,point,64,TRUE,03/06/2012,Road,,,,,
FT00991,FT009,NAD83,No,n_a,n_a,n_a,-111.643791,56.774438,GPS,point,64,TRUE,03/06/2012,Road,,,,,
FT00992,FT009,NAD83,No,n_a,n_a,n_a,-111.630725,56.773285,GPS,point,64,TRUE,03/06/2012,Road,,,,,
FT01010,FT010,NAD83,No,n_a,n_a,n_a,-111.514518,56.782984,GIS,point,57,TRUE,08/06/2012,Road,,,,,
FT01011,FT010,NAD83,No,n_a,n_a,n_a,-111.500826,56.786063,GIS,point,57,TRUE,08/06/2012,Road,,,,,
FT01014,FT010,NAD83,No,n_a,n_a,n_a,-111.495381,56.791591,GIS,point,57,TRUE,08/06/2012,Road,,,,,
FT01016,FT010,NAD83,No,n_a,n_a,n_a,-111.520451,56.782771,GIS,point,57,TRUE,08/06/2012,Road,,,,,
FT01017,FT010,NAD83,No,n_a,n_a,n_a,-111.520502,56.779039,GIS,point,57,TRUE,08/06/2012,Road,,,,,
FT01018,FT010,NAD83,No,n_a,n_a,n_a,-111.52745,56.784515,GIS,point,57,TRUE,08/06/2012,Road,,,,,
FT01081,FT010,NAD83,No,n_a,n_a,n_a,-111.495396,56.785392,GPS,point,57,TRUE,08/06/2012,Road,,,,,
FT01082,FT010,NAD83,No,n_a,n_a,n_a,-111.479344,56.784734,GPS,point,57,TRUE,08/06/2012,Road,,,,,
FT02002,FT020,NAD83,No,n_a,n_a,n_a,-111.706292,56.22592,GIS,point,15,TRUE,10/06/2012,Road,,,,,
FT02081,FT020,NAD83,No,n_a,n_a,n_a,-111.699734,56.230361,GPS,point,27,TRUE,11/06/2012,Road,,,,,
FT02608,FT026,NAD83,No,n_a,n_a,n_a,-110.888669,56.008985,GIS,point,57,TRUE,18/06/2012,Road,,,,,
FT02609,FT026,NAD83,No,n_a,n_a,n_a,-110.884496,55.990461,GIS,point,57,TRUE,18/06/2012,Road,,,,,
FT02610,FT026,NAD83,No,n_a,n_a,n_a,-110.878723,55.992385,GIS,point,57,TRUE,18/06/2012,Road,,,,,
FT02611,FT026,NAD83,No,n_a,n_a,n_a,-110.913639,55.994355,GIS,point,64,TRUE,18/06/2012,Road,,,,,
FT02615,FT026,NAD83,No,n_a,n_a,n_a,-110.928173,55.991718,GIS,point,64,TRUE,18/06/2012,Road,,,,,
FT02619,FT026,NAD83,No,n_a,n_a,n_a,-110.935539,55.987804,GIS,point,64,TRUE,18/06/2012,Road,,,,,
FT02681,FT026,NAD83,No,n_a,n_a,n_a,-110.887132,56.01219,GPS,point,57,TRUE,18/06/2012,Road,,,,,
FT02682,FT026,NAD83,No,n_a,n_a,n_a,-110.894568,56.009778,GPS,point,57,TRUE,18/06/2012,Road,,,,,
FT02683,FT026,NAD83,No,n_a,n_a,n_a,-110.901928,56.011256,GPS,point,57,TRUE,18/06/2012,Road,,,,,
FT02691,FT026,NAD83,No,n_a,n_a,n_a,-110.921372,55.99632,GPS,point,64,TRUE,18/06/2012,Road,,,,,
FT02692,FT026,NAD83,No,n_a,n_a,n_a,-110.926196,55.979356,GPS,point,64,TRUE,18/06/2012,Road,,,,,
FT02693,FT026,NAD83,No,n_a,n_a,n_a,-110.931389,55.978419,GPS,point,64,TRUE,18/06/2012,Road,,,,,
FT02694,FT026,NAD83,No,n_a,n_a,n_a,-110.922577,55.994336,GPS,point,64,TRUE,18/06/2012,Road,,,,,
FT02695,FT026,NAD83,No,n_a,n_a,n_a,-110.920716,55.978646,GPS,point,64,TRUE,18/06/2012,Road,,,,,
FT03012,FT030,NAD83,No,n_a,n_a,n_a,-111.944074,55.955836,GIS,point,57,TRUE,01/07/2012,Road,,,,,
FT03018,FT030,NAD83,No,n_a,n_a,n_a,-111.958749,55.962443,GIS,point,57,TRUE,01/07/2012,Road,,,,,
FT03081,FT030,NAD83,No,n_a,n_a,n_a,-111.925621,55.958816,GPS,point,57,TRUE,01/07/2012,Road,,,,,
FT03082,FT030,NAD83,No,n_a,n_a,n_a,-111.951537,55.965114,GPS,point,57,TRUE,01/07/2012,Road,,,,,
FT03083,FT030,NAD83,No,n_a,n_a,n_a,-111.976533,55.959388,GPS,point,57,TRUE,01/07/2012,Road,,,,,
FT03084,FT030,NAD83,No,n_a,n_a,n_a,-111.930452,55.95936,GPS,point,57,TRUE,01/07/2012,Road,,,,,
FT03091,FT030,NAD83,No,n_a,n_a,n_a,-111.949257,55.969298,GPS,point,64,TRUE,01/07/2012,Road,,,,,
FT03092,FT030,NAD83,No,n_a,n_a,n_a,-111.94043,55.963477,GPS,point,64,TRUE,01/07/2012,Road,,,,,
FT03093,FT030,NAD83,No,n_a,n_a,n_a,-111.935315,55.963459,GPS,point,64,TRUE,01/07/2012,Road,,,,,
FT03094,FT030,NAD83,No,n_a,n_a,n_a,-111.931268,55.961743,GPS,point,64,TRUE,01/07/2012,Road,,,,,
FT03095,FT030,NAD83,No,n_a,n_a,n_a,-111.925335,55.964036,GPS,point,64,TRUE,01/07/2012,Road,,,,,
FT03096,FT030,NAD83,No,n_a,n_a,n_a,-111.923998,55.966782,GPS,point,64,TRUE,01/07/2012,Road,,,,,
FT03097,FT030,NAD83,No,n_a,n_a,n_a,-111.927496,55.969342,GPS,point,64,TRUE,01/07/2012,Road,,,,,
FT03107,FT031,NAD83,No,n_a,n_a,n_a,-111.340235,55.943906,GIS,point,57,TRUE,20/06/2012,Road,,,,,
FT03108,FT031,NAD83,No,n_a,n_a,n_a,-111.349323,55.935295,GIS,point,57,TRUE,20/06/2012,Road,,,,,
FT03115,FT031,NAD83,No,n_a,n_a,n_a,-111.365771,55.933933,GIS,point,57,TRUE,20/06/2012,Road,,,,,
FT03116,FT031,NAD83,No,n_a,n_a,n_a,-111.334737,55.945451,GIS,point,57,TRUE,20/06/2012,Road,,,,,
FT03123,FT031,NAD83,No,n_a,n_a,n_a,-111.337951,55.938041,GIS,point,57,TRUE,20/06/2012,Road,,,,,
FT03181,FT031,NAD83,No,n_a,n_a,n_a,-111.31827,55.937557,GPS,point,57,TRUE,20/06/2012,Road,,,,,
FT03182,FT031,NAD83,No,n_a,n_a,n_a,-111.339652,55.946696,GPS,point,57,TRUE,20/06/2012,Road,,,,,
FT03183,FT031,NAD83,No,n_a,n_a,n_a,-111.367287,55.937691,GPS,point,57,TRUE,20/06/2012,Road,,,,,
FT03191,FT031,NAD83,No,n_a,n_a,n_a,-111.333865,55.9076,GPS,point,64,TRUE,20/06/2012,Road,,,,,
FT03192,FT031,NAD83,No,n_a,n_a,n_a,-111.335641,55.912014,GPS,point,64,TRUE,20/06/2012,Road,,,,,
