CL20008G-140613-006,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,SWTH,1,1,2,S,,,A,M,,,,,
CL20008G-140613-007,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,BHVI,1,1,2,S,,,A,M,,,,,
CL20008G-140613-008,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,OVEN,1,1,2,S,,,A,M,,,,,
CL20008G-140613-009,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,WETA,,1,2,S,,,A,M,,,,Forgot to record time period,
CL20008G-140613-010,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,WIWR,1,3,2,S,,,A,M,,,,,
CL20008G-140613-011,CL20008G,CL20008G-1,13/06/2014,7:44:00 AM,n_a,1,28,RESQ,3,4,2,S,,,U,U,,,,,
CL20008N-140613-001,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,TEWA,1,1,2,S,,,A,M,,,,,
CL20008N-140613-002,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,BHVI,5,1,2,S,,,A,M,,,,,
CL20008N-140613-003,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,RESQ,1,1,2,C,,,U,U,,,,,
CL20008N-140613-004,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,HETH,3,1,1,S,,,A,M,,,,,
CL20008N-140613-005,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,SWTH,1,1,2,S,,,A,M,,,,,
CL20008N-140613-006,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,ALFL,1,1,2,S,,,A,M,,,,,
CL20008N-140613-007,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,OVEN,1,1,3,S,,,A,M,,,,,
CL20008N-140613-008,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-009,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-010,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-011,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-012,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-013,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-014,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-015,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-016,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-017,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-018,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-019,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,FL,,,
CL20008N-140613-020,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,LISP,3,2,2,S,,,A,M,,,,,
CL20008N-140613-021,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,TEWA,3,2,2,S,,,A,M,,,,,
CL20008N-140613-022,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,HETH,1,2,2,S,,,A,M,,,,,
CL20008N-140613-023,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,RCKI,1,2,2,S,,,A,M,,,,,
CL20008N-140613-024,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,NOFL,5,2,2,C,,,A,U,,,,,
CL20008N-140613-025,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,SWTH,1,3,1,S,,,A,M,,,,,
CL20008N-140613-026,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,YRWA,1,3,2,S,,,A,M,,,,,
CL20008N-140613-027,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,WIWR,1,4,1,S,,,A,M,,,,,
CL20008N-140613-028,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,MAWA,1,4,1,S,,,A,M,,,,,
CL20008N-140613-029,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,YRWA,3,4,1,S,,,A,M,,,,,
CL20008N-140613-030,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,MAWA,3,4,2,S,,,A,M,,,,,
CL20008N-140613-031,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,YRWA,5,4,2,S,,,A,M,,,,,
CL20008N-140613-032,CL20008N,CL20008N-1,13/06/2014,5:30:00 AM,n_a,1,32,EVGR,5,4,2,C,,,A,U,FT,,,,
CL20008P-140613-001,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,RCKI,1,1,1,S,,,A,M,,,,,
CL20008P-140613-002,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,RESQ,3,1,1,C,,,U,U,,,,,
CL20008P-140613-003,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,REVI,3,1,2,S,,,A,M,,,,,
CL20008P-140613-004,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,REVI,3,1,3,S,,,A,M,,,,,
CL20008P-140613-005,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,YRWA,5,1,2,S,,,A,M,,,,,
CL20008P-140613-006,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,WTSP,5,2,1,S,,,A,M,,,,,
CL20008P-140613-007,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,MAWA,5,2,1,S,,,A,M,,,,,
CL20008P-140613-008,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,YRWA,1,2,1,S,,,A,M,,,,,
CL20008P-140613-009,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,DEJU,3,2,2,S,,,A,M,,,,,
CL20008P-140613-010,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,BHVI,5,2,2,S,,,A,M,,,,,
CL20008P-140613-011,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,TEWA,1,3,1,S,,,A,M,,,,,
CL20008P-140613-012,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,SWTH,5,3,1,S,,,A,M,,,,,
CL20008P-140613-013,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,MAWA,1,4,1,S,,,A,M,,,,,
CL20008P-140613-014,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,CHSP,1,4,1,S,,,A,M,,,,,
CL20008P-140613-015,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,CHSP,1,4,1,S,,,A,M,,,,,
CL20008P-140613-016,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,TEWA,1,4,1,S,,,A,M,,,,,
CL20008P-140613-017,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,OVEN,1,4,2,S,,,A,M,,,,,
CL20008P-140613-018,CL20008P,CL20008P-1,13/06/2014,9:30:00 AM,n_a,1,32,RESQ,5,4,2,C,,,U,U,,,,,
CL20009G-140613-001,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,YRWA,1,1,1,S,,,A,M,,,,,
CL20009G-140613-002,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,WETA,1,1,1,S,,,A,M,,,,,
CL20009G-140613-003,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,WETA,1,3,1,S,,,A,M,,,,,
CL20009G-140613-004,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,CONW,1,2,1,S,,,A,M,,,,,
CL20009G-140613-005,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,REVI,1,3,1,S,,,A,M,,,,,
CL20009G-140613-006,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,BRCR,5,3,1,S,,,A,M,,,,,
CL20009G-140613-007,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,TEWA,5,3,1,S,,,A,M,,,,,
CL20009G-140613-008,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,CMWA,1,4,1,S,,,A,M,,,,,
CL20009G-140613-009,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,OVEN,1,1,2,S,,,A,M,,,,,
CL20009G-140613-010,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,LISP,1,2,2,S,,,A,M,,,,,
CL20009G-140613-011,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,CORA,5,1,3,C,,,U,U,,,,,
CL20009G-140613-012,CL20009G,CL20009G-1,13/06/2014,8:22:00 AM,n_a,1,28,CORA,5,1,3,C,,,U,U,,,,,
CL20009P-140613-001,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,BOCH,1,1,1,C,,,A,U,,,,,
CL20009P-140613-002,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,BOCH,1,1,1,C,,,A,U,,,,,
CL20009P-140613-003,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,YRWA,1,1,1,S,,,A,M,,,,,
CL20009P-140613-004,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,RCKI,1,1,1,S,,,A,M,,,,,
CL20009P-140613-005,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,SWTH,1,1,2,S,,,A,M,,,,,
CL20009P-140613-006,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,HETH,5,1,2,S,,,A,M,,,,,
CL20009P-140613-007,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,HETH,1,1,2,S,,,A,M,,,,,
CL20009P-140613-008,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,SWTH,3,1,2,S,,,A,M,,,,,
CL20009P-140613-009,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,TEWA,1,1,2,S,,,A,M,,,,,
CL20009P-140613-010,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,RESQ,1,2,1,C,,,U,U,,,,,
CL20009P-140613-011,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,DEJU,5,2,1,S,,,A,M,,,,,
CL20009P-140613-012,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,ALFL,5,2,2,S,,,A,M,,,,,
CL20009P-140613-013,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,YRWA,1,2,2,S,,,A,M,,,,,
CL20009P-140613-014,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,CORA,5,2,3,C,,,U,U,FO,,,,
CL20009P-140613-015,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,YRWA,1,3,1,S,,,A,M,,,,,
CL20009P-140613-016,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,BBWO,3,3,2,S,,,A,M,DR,,,,
CL20009P-140613-017,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,SWTH,3,3,2,S,,,A,M,,,,,
CL20009P-140613-018,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,WTSP,5,3,2,S,,,A,M,,,,,
CL20009P-140613-019,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,YRWA,1,3,2,S,,,A,M,,,,,
CL20009P-140613-020,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,WWCR,3,4,1,C,,,U,U,FO,,,,
CL20009P-140613-021,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,WWCR,3,4,1,C,,,U,U,FO,,,,
CL20009P-140613-022,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,WWCR,3,4,1,C,,,U,U,FO,,,,
CL20009P-140613-023,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,TEWA,1,4,2,S,,,A,M,,,,,
CL20009P-140613-024,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,LISP,1,4,2,S,,,A,M,,,,,
CL20009P-140613-025,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,CONW,1,4,1,S,,,A,M,,,,,
CL20009P-140613-026,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,MOWA,1,4,1,S,,,A,M,,,,,
CL20009P-140613-027,CL20009P,CL20009P-1,13/06/2014,6:05:00 AM,n_a,1,32,CMWA,3,4,1,S,,,A,M,,,,,
CO20001G-140530-001,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,SOSA,5,1,2,C,,,A,U,,,,,
CO20001G-140530-002,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,YRWA,1,1,2,S,,,A,M,,,,,
CO20001G-140530-003,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,GRYE,5,1,2,C,,,A,U,,,,,
CO20001G-140530-004,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,DEJU,1,1,1,C,,,A,U,,,,,
CO20001G-140530-005,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,YRWA,1,1,1,C,,,A,U,,,,,
CO20001G-140530-006,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,YRWA,1,1,1,C,,,A,U,,,,,
CO20001G-140530-007,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,WWCR,1,1,2,C,,,A,U,FO,,,,On recording: WWCR
CO20001G-140530-008,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,RCKI,1,2,2,S,,,A,M,CS,,,,
CO20001G-140530-009,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,RCKI,1,2,1,S,,,A,M,CS,,,,
CO20001G-140530-010,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,RCKI,1,3,3,S,,,A,M,CS,,,,
CO20001G-140530-011,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,YRWA,1,3,2,S,,,A,M,,,,,
CO20001G-140530-012,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,SWTH,5,4,2,S,,,A,M,,,,,
CO20001G-140530-013,CO20001G,CO20001G-1,30/05/2014,9:24:00 AM,n_a,1,32,GRAJ,3,4,2,C,,,U,U,,,,,
CO20002G-140530-001,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,HETH,5,1,2,S,,,A,M,,,,,
CO20002G-140530-002,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,GRYE,1,1,1,C,,,A,U,,,,,
CO20002G-140530-003,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,GRYE,1,1,1,C,,,A,U,,,,,
CO20002G-140530-004,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,DEJU,1,1,1,S,,,A,M,CS,,,,
CO20002G-140530-005,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,UNWO,1,1,1,V,,,A,U,FE,,,,ATTW OR BBWO Feeding
CO20002G-140530-006,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,SOSA,5,2,1,C,,,A,U,FO,,,,
CO20002G-140530-007,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,SOSA,5,2,1,C,,,A,U,FO,,,,
CO20002G-140530-008,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,CHSP,5,3,1,C,,,A,U,,,,,
CO20002G-140530-009,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,RCKI,1,4,1,S,,,A,M,,,,,
CO20002G-140530-010,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,DEJU,1,4,1,S,,,A,M,CS,,,,
CO20002G-140530-011,CO20002G,CO20002G-1,30/05/2014,9:49:00 AM,n_a,1,32,YRWA,5,4,1,C,,,A,U,,,,,
CO20003G-140530-001,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,DEJU,1,1,2,S,,,A,M,,,,,
CO20003G-140530-002,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,YRWA,1,1,2,S,,,A,M,,,,,
CO20003G-140530-003,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,HETH,1,1,2,S,,,A,M,,,,,
CO20003G-140530-004,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,CHSP,1,1,2,S,,,A,M,,,,,
CO20003G-140530-005,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,RCKI,1,1,1,S,C,,A,M,,,,,
CO20003G-140530-006,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,DEJU,5,2,1,S,C,,A,M,,,,,
CO20003G-140530-007,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,DEJU,5,2,1,C,,,A,U,,,,,
CO20003G-140530-008,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,WISN,1,4,3,S,,,A,M,,,,,
CO20003G-140530-009,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,CANG,3,4,2,C,,,A,U,FO,,,,
CO20003G-140530-010,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,CANG,3,4,2,C,,,A,U,FO,,,,
CO20003G-140530-011,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,COLO,5,4,2,C,,,A,U,FO,,,,
CO20003G-140530-012,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,RCKI,1,4,1,S,,,A,M,,,,,
CO20003G-140530-013,CO20003G,CO20003G-1,30/05/2014,6:46:00 AM,n_a,1,32,YRWA,1,4,1,S,,,A,M,,,,,
CO20004G-140530-001,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,RCKI,1,1,2,S,,,A,M,,,,,
CO20004G-140530-002,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,BHVI,5,1,2,S,,,A,M,,,,,
CO20004G-140530-003,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,YRWA,1,1,1,S,,,A,M,,,,,
CO20004G-140530-004,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,RCKI,1,1,1,S,,,A,M,,,,,
CO20004G-140530-005,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,WISN,1,2,2,S,,,A,M,,,,,
CO20004G-140530-006,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,CHSP,1,2,2,S,,,A,M,,,,,
CO20004G-140530-007,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,COLO,3,3,3,C,,,A,U,FO,,,,
CO20004G-140530-008,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,BOWA,5,3,2,C,,,A,U,FO,,,,Recording: Bohemian Waxwing
CO20004G-140530-009,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,LCSP,5,3,2,S,,,A,M,,,,,
CO20004G-140530-010,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,UNWO,5,3,2,C,,,A,U,FE,,,,ATTW OR BBWO Feeding
CO20004G-140530-011,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,DEJU,5,3,2,S,,,A,M,,,,,
CO20004G-140530-012,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,RCKI,1,4,2,S,,,A,M,,,,,
CO20004G-140530-013,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,HETH,1,4,2,C,S,,A,M,,,,,
CO20004G-140530-014,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,CHSP,1,4,2,S,,,A,M,,,,,
CO20004G-140530-015,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,HETH,1,4,2,S,,,A,M,,,,,
CO20004G-140530-016,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,WTSP,1,4,2,S,,,A,M,,,,,
CO20004G-140530-017,CO20004G,CO20004G-1,30/05/2014,6:16:00 AM,n_a,1,32,YRWA,1,4,2,S,,,A,M,,,,,
CO20005G-140530-001,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-002,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-003,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-004,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-005,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-006,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-007,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-008,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-009,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-010,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-011,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-012,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-013,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-014,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-015,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-016,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-017,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-018,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-019,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-020,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-021,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-022,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-023,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-024,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-025,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-026,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-027,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-028,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-029,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-030,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-031,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-032,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-033,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
CO20005G-140530-034,CO20005G,CO20005G-1,30/05/2014,7:24:00 AM,n_a,1,32,CANG,1,1,3,C,V,,A,U,FL,FO,,Flock of approx. 60,
